Token,Frequency
▁কি,172
ে,166
্,125
▁ও,112
▁না,110
র,103
▁নব,96
▁আর,88
ই,80
▁,80
▁ভাই,70
ও,64
▁কালী,61
▁তো,59
▁যে,58
▁আমি,57
▁এ,56
▁এই,56
▁বাবা,55
▁কর্,53
কে,52
ত্তা,51
▁আ,50
▁হা,50
▁তা,48
ের,46
জী,42
▁আমার,42
▁কেন,42
ি,41
▁বল,38
▁দেখ,38
য়,37
▁করে,37
▁বা,34
ন,34
▁যা,33
▁এখন,32
ী,31
▁আমাদের,29
▁হি,29
ো,28
▁প্রসন্ন,28
▁নেপথ্য,28
▁নে,28
▁করিয়া,27
▁তবে,26
▁ক,26
▁সে,26
▁তোমার,26
তে,25
▁সকলে,25
▁প্রস্থান,24
▁হর,23
▁সভা,23
▁তুমি,23
▁আমরা,23
টা,22
▁করি,22
জ্ঞ,22
ব,22
মা,22
▁বাবু,21
▁নৃত্য,21
চি,21
ঃ,21
▁আজ,21
▁প্রবেশ,21
▁হে,21
▁এক,21
▁চৈত,21
না,20
ঁ,20
▁হয়,20
া,20
▁তু,20
▁বলে,19
্যে,19
ম্,19
▁আছে,19
▁হবে,19
দের,19
▁মা,19
রা,19
▁গৃহিণী,18
▁সার,18
▁প্রথম,18
▁এত,18
▁আবার,18
▁একবার,18
▁বেটা,18
স্,18
▁জ্ঞান,18
য়ো,17
▁কর,17
য়ে,17
▁ভাল,17
শালা,17
িণী,17
চে,17
▁প,16
▁দ্বিতীয়,16
বো,16
▁হলে,16
ন্,16
▁একটা,16
▁দেও,16
্ম,16
ম,16
▁তাই,16
▁কে,16
কী,16
▁বলা,16
শ,15
▁হয়ে,15
▁কিছু,15
▁দি,15
▁দেখি,15
▁তার,15
▁দাদা,15
স,15
▁তোর,15
য়ার,15
াঙ্ক,14
▁এবং,14
্ব,14
▁আমাকে,14
▁বো,14
▁প্রতি,14
▁চল,14
▁এখানে,14
▁গা,14
▁ঐ,14
▁কথা,13
▁স্ব,13
গত,13
▁একটু,13
সো,13
▁সকলের,13
▁চৌ,13
▁মহাশয়,12
▁এমন,12
▁যদি,12
লো,12
রে,12
লে,12
▁অ,12
হা,12
▁স,12
▁কর্ম,12
▁হাঁ,12
পু,12
তরঙ্গ,12
▁একে,11
▁থেকে,11
▁অঙ্ক,11
▁গর্ভ,11
▁কেমন,11
▁যেন,11
▁যাই,11
▁নাই,11
▁কোন্,11
ড়,11
ক,11
▁চুপ,11
▁হিপ,11
▁হু,11
ঝি,11
▁নেই,10
